mm/dd/yy-HH:MM,Int,Ext,Tds,Sal,Con,Bat
3/16/20-12:04,80.6,71.6,13,0,23.4,4.21
3/16/20-12:34,77,71.6,12,0,22.31,4.21
3/16/20-13:04,78.8,71.6,12,0,23.03,4.21
3/16/20-13:34,81.5,71.6,13,0,23.4,4.21
3/16/20-14:04,83.3,72.5,13,0,23.87,4.21
3/16/20-14:34,80.6,72.5,13,0,23.16,4.21
3/16/20-15:04,78.8,72.5,12,0,22.79,4.21
3/16/20-15:34,86,72.5,13,0,24.58,4.21
3/16/20-16:04,84.2,72.5,13,0,23.87,4.21
3/16/20-16:34,83.3,72.5,13,0,23.87,4.21
3/16/20-17:04,78.8,72.5,12,0,22.79,4.21
3/16/20-17:34,76.1,72.5,12,0,22.45,4.21
3/16/20-18:04,76.1,72.5,12,0,22.08,4.21
3/16/20-18:34,76.1,72.5,12,0,22.8,4.21
3/16/20-19:04,74.3,72.5,32,0,59.85,4.21
3/16/20-19:34,72.5,71.6,39,0,71.89,4.21
3/16/20-20:04,71.6,71.6,41,0,76.33,4.21
3/16/20-20:34,70.7,71.6,41,0,76.71,4.21
3/16/20-21:04,71.6,71.6,43,0,78.91,4.21
3/16/20-21:34,71.6,71.6,44,0,81.51,4.21
3/16/20-22:04,71.6,71.6,45,0,82.97,4.21
3/16/20-22:34,71.6,71.6,45,0,83.7,4.21
3/16/20-23:04,71.6,71.6,46,0,84.8,4.21
3/16/20-23:34,71.6,71.6,48,0,88.13,4.21
3/17/20-0:04,71.6,71.6,48,0,88.14,4.21
3/17/20-0:34,71.6,71.6,48,0,88.86,4.21
3/17/20-1:04,71.6,71.6,50,0,92.93,4.21
3/17/20-1:34,70.7,71.6,50,0,92.93,4.21
3/17/20-2:04,71.6,71.6,51,0,94.05,4.21
3/17/20-2:34,71.6,71.6,51,0,94.04,4.21
3/17/20-3:04,71.6,71.6,51,0,93.66,4.21
3/17/20-3:34,71.6,71.6,51,0,93.66,4.21
3/17/20-4:04,71.6,71.6,52,0,97,4.21
3/17/20-4:34,71.6,71.6,53,0,97.39,4.21
3/17/20-5:04,71.6,71.6,52,0,96.62,4.21
3/17/20-5:34,71.6,71.6,48,0,89.25,4.21
3/17/20-6:04,70.7,71.6,51,0,94.42,4.21
3/17/20-6:34,70.7,71.6,45,0,82.97,4.21
3/17/20-7:04,70.7,71.6,13,0,24.53,4.21
3/17/20-7:34,70.7,71.6,13,0,24.15,4.21
3/17/20-8:04,70.7,71.6,14,0,25.63,4.21
3/17/20-8:34,71.6,71.6,14,0,26.36,4.21
3/17/20-9:04,73.4,71.6,15,0,27.08,4.21
3/17/20-9:34,73.4,71.6,15,0,27.08,4.21
3/17/20-10:04,75.2,71.6,15,0,27.8,4.21
3/17/20-10:34,76.1,71.6,15,0,28.18,4.21
3/17/20-11:04,75.2,71.6,15,0,28.56,4.21
3/17/20-11:34,76.1,71.6,16,0,28.91,4.21
3/17/20-12:04,77,71.6,16,0,30,4.21
3/17/20-12:34,78.8,71.6,45,0,84.03,4.21
3/17/20-13:04,81.5,72.5,51,0,94.07,4.21
3/17/20-13:34,86,72.5,52,0,96.22,4.21
3/17/20-14:04,81.5,72.5,52,0,97,4.21
3/17/20-14:34,86,72.5,44,0,82.02,4.21
3/17/20-15:04,83.3,72.5,53,0,98.08,4.21
3/17/20-15:34,86,72.5,54,0,100.3,4.21
3/17/20-16:04,86,72.5,55,0,102.1,4.21
3/17/20-16:34,79.7,72.5,53,0,98.49,4.21
3/17/20-17:04,75.2,72.5,55,0,101.1,4.21
3/17/20-17:34,77.9,72.5,14,0,26.44,4.21
3/17/20-18:04,77,72.5,46,0,85.36,4.21
3/17/20-18:34,75.2,72.5,54,0,99.26,4.21
3/17/20-19:04,74.3,72.5,52,0,96.34,4.21
3/17/20-19:34,72.5,71.6,55,0,101.4,4.21
3/17/20-20:04,72.5,71.6,53,0,98.48,4.21
3/17/20-20:34,71.6,71.6,55,0,101.4,4.21
3/17/20-21:04,71.6,71.6,54,0,99.23,4.21
3/17/20-21:34,71.6,71.6,56,0,103.3,4.21
3/17/20-22:04,71.6,71.6,56,0,103.3,4.21
3/17/20-22:34,71.6,71.6,52,0,96.64,4.21
3/17/20-23:04,71.6,71.6,49,0,91.09,4.21
3/17/20-23:34,71.6,71.6,47,0,87.77,4.21
3/18/20-0:04,71.6,71.6,13,0,24.89,4.21
3/18/20-0:34,71.6,71.6,13,0,24.53,4.21
3/18/20-1:04,70.7,71.6,46,0,85.58,4.21
3/18/20-1:34,71.6,71.6,13,0,24.89,4.21
3/18/20-2:04,71.6,71.6,51,0,95.17,4.21
3/18/20-2:34,71.6,71.6,13,0,24.89,4.21
3/18/20-3:04,71.6,71.6,49,0,90.36,4.21
3/18/20-3:34,70.7,71.6,52,0,97.02,4.21
3/18/20-4:04,71.6,71.6,53,0,97.39,4.21
3/18/20-4:34,71.6,71.6,13,0,24.89,4.21
3/18/20-5:04,71.6,71.6,50,0,92.57,4.21
3/18/20-5:34,71.6,71.6,52,0,97.02,4.21
3/18/20-6:04,71.6,71.6,54,0,99.59,4.21
3/18/20-6:34,71.6,71.6,53,0,98.48,4.21
3/18/20-7:04,71.6,71.6,53,0,97.74,4.21
3/18/20-7:34,71.6,71.6,56,0,104.4,4.21
3/18/20-8:04,71.6,71.6,57,0,106.3,4.21
3/18/20-8:34,72.5,71.6,57,0,105.9,4.21
3/18/20-9:04,73.4,71.6,55,0,101.8,4.21
3/18/20-9:34,73.4,71.6,56,0,104.4,4.21
3/18/20-10:04,76.1,71.6,57,0,104.7,4.21
3/18/20-10:34,77,71.6,54,0,99.18,4.21
3/18/20-11:04,80.6,71.6,54,0,100.6,4.21
3/18/20-11:34,81.5,72.5,56,0,102.9,4.21
3/18/20-12:04,81.5,72.5,52,0,95.53,4.21
3/18/20-12:34,84.2,72.5,57,0,104.6,4.21
3/18/20-13:04,87.8,72.5,57,0,104.6,4.21
3/18/20-13:34,90.5,73.4,55,0,101.4,4.21
3/18/20-14:04,91.4,73.4,15,0,28.63,4.21
3/18/20-14:34,89.6,73.4,15,0,27.19,4.21
3/18/20-15:04,88.7,73.4,14,0,25.78,4.21
3/18/20-15:34,87.8,73.4,32,0,59.17,4.21
3/18/20-16:04,85.1,73.4,52,0,95.61,4.21
3/18/20-16:34,83.3,73.4,53,0,98.88,4.21
3/18/20-17:04,82.4,73.4,54,0,99.61,4.21
3/18/20-17:34,81.5,73.4,54,0,100.7,4.21
3/18/20-18:04,79.7,73.4,54,0,100.4,4.21
3/18/20-18:34,77,72.5,55,0,101.8,4.21
3/18/20-19:04,76.1,72.5,55,0,102.2,4.21
3/18/20-19:34,74.3,72.5,54,0,100.7,4.21
3/18/20-20:04,73.4,71.6,56,0,102.9,4.21
3/18/20-20:34,72.5,71.6,56,0,104,4.21
3/18/20-21:04,71.6,71.6,56,0,104.4,4.21
3/18/20-21:34,71.6,71.6,56,0,104,4.21
3/18/20-22:04,71.6,71.6,57,0,104.8,4.21
3/18/20-22:34,71.6,71.6,57,0,105.2,4.21
3/18/20-23:04,71.6,71.6,57,0,105.5,4.21
3/18/20-23:34,71.6,71.6,57,0,105.5,4.21
3/19/20-0:04,71.6,71.6,56,0,103.3,4.21
3/19/20-0:34,70.7,71.6,56,0,104.4,4.21
3/19/20-1:04,70.7,71.6,57,0,105.5,4.21
3/19/20-1:34,70.7,71.6,58,0,106.6,4.21
3/19/20-2:04,70.7,71.6,58,0,108.1,4.21
3/19/20-2:34,70.7,71.6,59,0,109.2,4.21
3/19/20-3:04,71.6,71.6,59,0,110,4.21
3/19/20-3:34,70.7,71.6,58,0,107.7,4.21
3/19/20-4:04,70.7,71.6,59,0,109.6,4.21
3/19/20-4:34,71.6,71.6,60,0,110.3,4.21
3/19/20-5:04,70.7,71.6,59,0,109.6,4.21
3/19/20-5:34,70.7,71.6,57,0,106.3,4.21
3/19/20-6:04,70.7,71.6,59,0,108.9,4.21
3/19/20-6:34,70.7,71.6,59,0,108.5,4.21
3/19/20-7:04,70.7,71.6,60,0,110.3,4.21
3/19/20-7:34,70.7,71.6,59,0,110,4.21
3/19/20-8:04,71.6,71.6,59,0,108.5,4.21
3/19/20-8:34,72.5,71.6,60,0,110.7,4.21
3/19/20-9:04,73.4,71.6,59,0,109.2,4.21
3/19/20-9:34,75.2,71.6,59,0,109.2,4.21
3/19/20-10:04,77.9,71.6,59,0,108.4,4.21
3/19/20-10:34,87.8,72.5,58,0,107.2,4.21
3/19/20-11:04,79.7,72.5,58,0,106.5,4.21
3/19/20-11:34,77.9,72.5,58,0,107.7,4.21
3/19/20-12:04,77,72.5,58,0,106.9,4.21
3/19/20-12:34,77.9,72.5,56,0,104.4,4.21
3/19/20-13:04,86,72.5,57,0,105.4,4.21
3/19/20-13:34,80.6,72.5,57,0,106.2,4.21
3/19/20-14:04,81.5,72.5,58,0,106.5,4.21
3/19/20-14:34,81.5,72.5,58,0,106.6,4.21
3/19/20-15:04,82.4,72.5,59,0,108.4,4.21
3/19/20-15:34,79.7,72.5,58,0,106.9,4.21
3/19/20-16:04,81.5,72.5,59,0,110.2,4.21
3/19/20-16:34,84.2,72.5,59,0,109.1,4.21
3/19/20-17:04,83.3,72.5,59,0,109.1,4.21
3/19/20-17:34,80.6,72.5,59,0,108.4,4.21
3/19/20-18:04,78.8,72.5,59,0,109.1,4.21
3/19/20-18:34,77,72.5,59,0,108.8,4.21
3/19/20-19:04,76.1,72.5,58,0,108.1,4.21
3/19/20-19:34,74.3,72.5,58,0,107,4.21
3/19/20-20:04,73.4,72.5,58,0,108.1,4.21
3/19/20-20:34,73.4,71.6,59,0,109.6,4.21
3/19/20-21:04,72.5,71.6,59,0,109.6,4.21
3/19/20-21:34,72.5,71.6,59,0,109.2,4.21
3/19/20-22:04,72.5,71.6,59,0,109.2,4.21
3/19/20-22:34,71.6,71.6,59,0,108.5,4.21
3/19/20-23:04,71.6,71.6,59,0,109.2,4.21
3/19/20-23:34,71.6,71.6,59,0,108.9,4.21
3/20/20-0:04,71.6,71.6,59,0,109.2,4.21
3/20/20-0:34,71.6,71.6,57,0,106.3,4.21
3/20/20-1:04,71.6,71.6,57,0,104.8,4.21
3/20/20-1:34,71.6,71.6,55,0,101.8,4.21
3/20/20-2:04,71.6,71.6,58,0,108.1,4.21
3/20/20-2:34,71.6,71.6,56,0,103.3,4.21
3/20/20-3:04,71.6,71.6,53,0,98.14,4.21
3/20/20-3:34,71.6,71.6,15,0,27.82,4.21
3/20/20-4:04,71.6,71.6,15,0,27.47,4.21
3/20/20-4:34,71.6,71.6,15,0,27.47,4.21
3/20/20-5:04,71.6,71.6,13,0,24.16,4.21
3/20/20-5:34,71.6,71.6,53,0,97.41,4.21
